FID,geom,efetivacao,id,tipo,latitude,longitude,elevacao,vfr,ifr,timezone,privado,nome,uf
AIRPORT21JUL16.2170,MULTIPOINT ((-44.07132393334058 -19.96110985785298)),2016-05-26,SJXN,HP,-19.96167,-44.07167,1042,Y,N,C,YES,BETIM / HELPN Niquini,MG
AIRPORT21JUL16.2171,MULTIPOINT ((-54.165432042887225 -20.044728659913655)),2016-05-26,SNWL,AD,-20.04528,-54.16528,576,N,N,C,YES,BANDEIRANTES / Faz. Santarém,MS
AIRPORT21JUL16.2172,MULTIPOINT ((-51.97560411211589 -26.47186662748296)),2016-05-26,SSPS,AD,-26.47222,-51.97556,1100,N,N,C,NO,PALMAS / São Sebastião,PR
AIRPORT21JUL16.2173,MULTIPOINT ((-48.222638234924695 -20.809750328635097)),2016-05-26,SIYE,AD,-20.81028,-48.22278,490,N,N,C,YES,MORRO AGUDO / Faz. Barra do Agudo,SP
AIRPORT21JUL16.2174,MULTIPOINT ((-46.47228423840072 -11.448678531099064)),2016-07-21,SJQD,AD,-11.44944,-46.4725,883,N,N,C,YES,FORMOSA DO RIO PRETO / Grupo Shimohira,BA
AIRPORT21JUL16.2175,MULTIPOINT ((-59.19954904510703 -9.4455756786753)),2016-07-21,SIXZ,AD,-9.44639,-59.19917,160,P,,D,YES,COLNIZA / Colniza,MT
AIRPORT21JUL16.2176,MULTIPOINT ((-49.51519966408429 -25.41683288967974)),2016-07-21,SJWL,AD,-25.41722,-49.51528,981,N,N,C,YES,CAMPO LARGO / Dr. Mauro de Souza Castro,PR
AIRPORT21JUL16.2177,MULTIPOINT ((-43.37655987062125 -22.98313852909971)),2016-07-21,SIWV,AD,-22.98361,-43.37694,3,P,,C,YES,RIO DE JANEIRO / Ten. Brig. Ar Waldir de Vasconcelos,RJ
AIRPORT21JUL16.2178,MULTIPOINT ((-58.609525924375305 -12.989821773551506)),2016-07-21,SJZN,AD,-12.99056,-58.60917,491,N,N,D,YES,SAPEZAL / Faz. Cima,MT
AIRPORT21JUL16.2179,MULTIPOINT ((-47.595118101449664 -2.2643242496663873)),2016-05-26,SDWM,AD,-2.26528,-47.59528,68,N,,C,YES,AURORA DO PARÁ / Faz. Modelo,PA
AIRPORT21JUL16.2180,MULTIPOINT ((-46.656167442603284 -23.62566394689503)),2016-07-21,SBSP,AD,-23.62611,-46.65639,802,Y,Y,C,NO,SÃO PAULO / Congonhas,SP
AIRPORT21JUL16.2181,MULTIPOINT ((-44.22494010991527 -21.085030277341108)),2016-07-21,SNJR,AD,-21.08556,-44.22528,945,Y,N,C,NO,SÃO JOÃO DEL REI / Prefeito Octávio de Almeida Neves,MG
AIRPORT21JUL16.2182,MULTIPOINT ((-51.369460905032824 -20.884198009620295)),2016-07-21,SJDK,HP,-20.88472,-51.36944,408,N,N,C,YES,ANDRADINA / HELPN Oeste Plaza Shopping-MC,SP
AIRPORT21JUL16.2183,MULTIPOINT ((-47.70066607744047 -22.439796726761866)),2016-07-21,SDED,AD,-22.44028,-47.70083,612,N,N,C,YES,IPEÚNA / Edra Aeronáutica,SP
AIRPORT21JUL16.2184,MULTIPOINT ((-49.30352203572298 -25.557948312835254)),2016-07-21,SDML,HP,-25.55833,-49.30361,936,Y,,C,YES,CURITIBA / HELPN Destro Macro,PR
AIRPORT21JUL16.2185,MULTIPOINT ((-56.521092442602445 -11.540624305772083)),2016-02-04,SWZM,AD,-11.54139,-56.52083,375,N,N,D,YES,PORTO DOS GAÚCHOS / Faz. América,MT
AIRPORT21JUL16.2186,MULTIPOINT ((-50.85499094293135 -20.765027982754987)),2016-02-04,SDER,AD,-20.76556,-50.855,370,N,N,C,YES,SUD MENNUCCI / Faz. Entre Rios,SP
AIRPORT21JUL16.2187,MULTIPOINT ((-57.72725879711402 -10.09225776155977)),2016-02-04,SJFT,AD,-10.09306,-57.72694,259,N,N,D,YES,NOVA BANDEIRANTES / Faz. Triunfo do Rio Turvo,MT
AIRPORT21JUL16.2188,MULTIPOINT ((-44.0688412543639 -7.849432238232503)),2016-02-04,SIMF,AD,-7.85028,-44.06917,494,N,N,C,YES,SEBASTIÃO LEAL / Faz. Imperial,PI
AIRPORT21JUL16.2189,MULTIPOINT ((-56.15913126572172 -11.912021941538534)),2016-02-04,SJOA,AD,-11.91278,-56.15889,390,N,N,D,YES,TAPURAH / Faz. Nossa Senhora Aparecida,MT
AIRPORT21JUL16.2190,MULTIPOINT ((-54.10626548887898 -22.943422942915156)),2016-02-04,SSXV,AD,-22.94389,-54.10611,350,N,N,C,YES,NAVIRAÍ / Faz. Santa Rita,MS
AIRPORT21JUL16.2191,MULTIPOINT ((-46.60366495224121 -23.532605524979296)),2016-02-04,SNVO,HP,-23.53306,-46.60389,742,Y,N,C,YES,SÃO PAULO / HELPN Vigor,SP
AIRPORT21JUL16.2192,MULTIPOINT ((-55.8238489504593 -21.29365074428794)),2016-02-04,SNHK,AD,-21.29417,-55.82361,314,P,,D,YES,NIOAQUE / Faz. Caacupê,MS
AIRPORT21JUL16.2193,MULTIPOINT ((-43.8729811557172 -19.84166175663027)),2016-02-04,SWAH,HP,-19.84222,-43.87333,698,Y,Y,C,YES,BELO HORIZONTE / HELPN Eco Aviação,MG
AIRPORT21JUL16.2194,MULTIPOINT ((-44.284409468812456 -2.4976613361476825)),2016-02-04,SDYY,HP,-2.49861,-44.28472,70,N,N,C,YES,SÃO LUIS / HELPN Business Center Renascença,MA
AIRPORT21JUL16.2195,MULTIPOINT ((-46.65283405713693 -23.55677298580578)),2016-02-04,SJSL,HP,-23.55722,-46.65306,886,Y,Y,C,YES,SÃO PAULO / HELPN Hospital Sírio Libanês II,SP
AIRPORT21JUL16.2196,MULTIPOINT ((-44.38330024534821 -7.941934389291066)),2016-02-04,SSXY,AD,-7.94278,-44.38361,503,N,N,C,YES,URUÇUÍ / Faz. Rainha da Serra,PI
